DX이해,제목,제작,url,부분,분류1,분류2,분류3,분류4
DX이해,1강. 디지털 트랜스포메이션(DX)에 대한 이해,KPC디지털,https://www.youtube.com/watch?v=TIW4r4FeOZE,DX기초,,,,
DX이해,2강. 디지털 트랜스포메이션을 위한 사전준비,KPC디지털,https://www.youtube.com/watch?v=zttI91TWqPs,DX기초,,,,
DX이해,3강. 디지털 역량 진단,KPC디지털,https://www.youtube.com/watch?v=dYr37tUnlvM,DX기초,,,,
DX이해,4강. 목표수립 및 방향설정,KPC디지털,https://www.youtube.com/watch?v=5IekH0xnth8,DX기초,,,,
DX이해,5강. 디지털 비즈니스 모델 혁신,KPC디지털,https://www.youtube.com/watch?v=7k4QEJNNoNs,DX기초,,,,
DX이해,6강. 디지털 제품 혁신,KPC디지털,https://www.youtube.com/watch?v=eusdr_sg8No,DX기초,,,,
DX이해,7강. 디지털 가치사슬 혁신,KPC디지털,https://www.youtube.com/watch?v=9fvIAtddmsg,DX기초,,,,
DX이해,8강. 디지털 공정 및 데이터 혁신,KPC디지털,https://www.youtube.com/watch?v=cDi9RpqyWco,DX기초,,,,
DX이해,9강. 디지털 트랜스포메이션 로드맵 수립,KPC디지털,https://www.youtube.com/watch?v=m5UvR16U-Sk,DX기초,,,,
DX이해,,,,,,,,
DX이해,"인공지능, 제대로 알아보자! 인공지능 디지털 전환, AI DX란?",한국딥러닝 주식회사,https://www.youtube.com/watch?v=46mebsp1Q4M,DX개념,,,,
DX이해,DX가 뭐길래?!,KAIST 이경상,https://www.youtube.com/watch?v=Z87C4owQfaM,DX개념,,,,
DX이해,DT(Digital Transformation) 3분 요약,연합뉴스경제TV,https://www.youtube.com/watch?v=rwOA46vHVic,DX개념,,,,
DX이해,"자동화, 디지털화, 디지털 트랜스포메이션 어떻게 다를까? | 임일 연세대 교수",이노핏파트너스 innoFIT Partners,https://www.youtube.com/watch?v=GHi5kCMkNGc,DX개념,,,,
DX이해,기업 DX의 성공적 추진을 위한 전략 | KT Enterprise부문 신수정 부문장 | Digital-X Summit 2021 ,KT Enterprise,https://www.youtube.com/watch?v=Q2bcQBfuidY&pp=ygUORFjruYTspojri4jsiqQ%3D,DX개념,,,,
DX이해,[클라우드 운영전략] 기업 디지털 전환(DX) 시대! 비즈니스 가치를 창출하는 클라우드 도입과 운영 전략_효성인포메이션시스템_정고훈 PM ,allshow TV,https://www.youtube.com/watch?v=u7Vm9vmCfYI&pp=ygUORFjruYTspojri4jsiqQ%3D,DX개념,,,,
DX이해,LG에너지솔루션 IT리더가 얘기하는 제조DX의 본질과 IT의 역할 Executive Summary feat. PTC IoT [토크아이티 세미남207] ,TalkIT,https://www.youtube.com/watch?v=k5ZFRPDPkzc&t=1246s&pp=ygUORFjruYTspojri4jsiqQ%3D,DX개념,,,,
DX이해,[코리아 그래픽스 2022] 메타버스 혁명과 DX 그리고 비즈니스의 기회 / 김상윤 중앙대 교수 ,캐드앤그래픽스,https://www.youtube.com/watch?v=v9klGJBhVPs&pp=ygUORFjruYTspojri4jsiqQ%3D,DX개념,,,,
DX이해,"KT AI/DX플랫폼사업본부 임채환 본부장, '위드 코로나 시대! KT AI·DX플랫폼을 통한 산업과 비즈니스를 혁신하는 방법' AI·DX SUMMIT KOREA 2021 ",,https://www.youtube.com/watch?v=zh_42L6c7zg&pp=ygUORFjruYTspojri4jsiqQ%3D,DX개념,,,,
DX이해,,,,,,,,
DX이해,기업데이터를 목적별로 관리 운영할 수 있는 BI 솔루션이 있다고?? ,IN4U & Company,https://www.youtube.com/watch?v=HlzYg6jC7eE&pp=ygUIQkntmIHsi6A%3D,BI,,,,
DX이해,[오톡쇼 EP04](1/4) Power BI - 1. BI의 개념과 BI 도구의 종류 ,오피스튜터 TV,https://www.youtube.com/watch?v=WmIQAHA0N1M&pp=ygUIQkntmIHsi6A%3D,BI,,,,
DX이해,Self Service BI가 뭔가요?! ,,https://www.youtube.com/watch?v=swDEEVmN_LA&pp=ygUIQkntmIHsi6A%3D,BI,,,,
DX이해,[2021 데이터 컨퍼런스] “전사 분석 확산을 위한 BI 트렌드 및 도입사례” / 이진형 MSTR 수석 엔지니어 ,,https://www.youtube.com/watch?v=b8h6rU4delA&pp=ygUIQkntmIHsi6A%3D,BI,,,,
