,title,url,date,keyword,creator,view,likes,depart,depart1,language,text,new_text,key_words
150,앞으로 디지털 가상자산을 이해한 사람만 살아남는 시대 (안유화),https://www.youtube.com/watch?v=0BSNHo4YxQs&pp=ygUQ65SU7KeA7YS4IO2IrOyekA%3D%3D,2022.6.26,,신사임당,228248,72,DX이해,DX트렌드,한국어,"* 출연신청 & 제휴 및 광고문의 : ssid@dpnstud.io
* 이 영상은 투자판단에 대한 조언일 뿐, 투자에 대한 가치 상승하락을 보장하지 않습니다.

오늘 만난 사람
안유화 교수는 옌볜 대학 교수로 근무하다 지난 2003년 한국 서울로 건너와 고려대에서 경영학 박사학위를 받은 후 2016년부터 성균관대학교 중국대학원 교수로 재직중이다. 대한민국 내 중국 경제와 금융시장 연구 및 경제개발 정책가로 활동했다. 안유화는 2008년부터 한국자본시장연구원 국제금융실에서 중국담당 연구위원으로 7년간 근무하였다. 한국예탁결제연구원에서 3년간 객원연구원, 담당하였으며, 한국 외교부와 대통령 직속 지식재산위원회 활용분과 전문위원으로 6년간 활동하였다. 법무법인 율촌 중국팀에서 고문을 역임하였으며, 현재 한중 경제와 금융협력을 위해 정부와 국가연구기관 및 기업의 자문역할을 담당하고 있다.","앞으로 디지털 가상자산을 이해한 사람만 살아남는 시대 안유화  출연신청  제휴 및 광고문의  ssiddpnstudio
 이 영상은 투자판단에 대한 조언일 뿐 투자에 대한 가치 상승하락을 보장하지 않습니다

오늘 만난 사람
안유화 교수는 옌볜 대학 교수로 근무하다 지난 2003년 한국 서울로 건너와 고려대에서 경영학 박사학위를 받은 후 2016년부터 성균관대학교 중국대학원 교수로 재직중이다 대한민국 내 중국 경제와 금융시장 연구 및 경제개발 정책가로 활동했다 안유화는 2008년부터 한국자본시장연구원 국제금융실에서 중국담당 연구위원으로 7년간 근무하였다 한국예탁결제연구원에서 3년간 객원연구원 담당하였으며 한국 외교부와 대통령 직속 지식재산위원회 활용분과 전문위원으로 6년간 활동하였다 법무법인 율촌 중국팀에서 고문을 역임하였으며 현재 한중 경제와 금융협력을 위해 정부와 국가연구기관 및 기업의 자문역할을 담당하고 있다","디지털 가상자산, 투자, 경제, 금융시장, 중국, 경제개발, 정부, 자문역할"
151,"디지털 리포트 2022, 디지털세상의 변화와 투자의 기회",https://www.youtube.com/watch?v=uuDjU62BLp0&pp=ygUQ65SU7KeA7YS4IO2IrOyekA%3D%3D,2022.5.22,#디지털리포트,핑플릭스,599,48,DX이해,DX트렌드,한국어,"디지털 리포트 2022 리뷰 합니다.
4년째 리뷰 중입니다. ^^ 디지털세상의 데이터들은 어떻게 투자하라고 말해주고 있을까요?

#디지털리포트 #디지털리포트2022","디지털 리포트 2022 디지털세상의 변화와 투자의 기회 디지털 리포트 2022 리뷰 합니다
4년째 리뷰 중입니다  디지털세상의 데이터들은 어떻게 투자하라고 말해주고 있을까요

디지털리포트 디지털리포트2022","디지털 리포트, 2022, 데이터, 투자, 디지털세상, 혁신"
152,전통 기업의 디지털 트랜스포메이션 3가지 성공 전략,https://www.youtube.com/watch?v=7QwI3PUqpnk,2020.4.21,#디지털,투이컨설팅-투이톡,8505,97,DX이해,DX트렌드,한국어,"2018년 한 해동안 미국에서 디지털 트랜스포메이션을 위해 
1조 3000억 달러라는 어마어마한 돈이 투입되었지만 
9000억 달러가 낭비되었다고 합니다. 

기존 관행을 버리지 못한채 신기술만 도입했기 때문에 
이런일이 발생한건데요,
디지털 시대에서 기업이 성장하기 위해선 어떻게 해야 할까요?

전통 기업의 디지털 트랜스포메이션 추진 시 필요한 3가지 방향을 
영상에서 설명 드립니다. 

#디지털 #디지털전략 #디지털트랜스포메이션","전통 기업의 디지털 트랜스포메이션 3가지 성공 전략 2018년 한 해동안 미국에서 디지털 트랜스포메이션을 위해 
1조 3000억 달러라는 어마어마한 돈이 투입되었지만 
9000억 달러가 낭비되었다고 합니다 

기존 관행을 버리지 못한채 신기술만 도입했기 때문에 
이런일이 발생한건데요
디지털 시대에서 기업이 성장하기 위해선 어떻게 해야 할까요

전통 기업의 디지털 트랜스포메이션 추진 시 필요한 3가지 방향을 
영상에서 설명 드립니다 

디지털 디지털전략 디지털트랜스포메이션","전통 기업, 디지털 트랜스포메이션, 성공 전략, 기존 관행, 신기술, 디지털 시대, 성장, 방향, 디지털 디지털전략, 디지털트랜스포메이션, 디지털 혁신"
153,DX 디지털 트랜스포메이션 이젠 선택이 아니라 필수!!,https://www.youtube.com/watch?v=9zmmRmrfzwg&pp=ygULRFjtlYTsmpTshLE%3D,2022.4.12,,김종혁강사 TV,495,6,DX이해,DX트렌드,한국어,"'DX 디지털 트랜스포메이션'은 단순히 IT시스템을 적용시키는 것이 아니라 공급망, 직원관리, 고객관리, 비즈니스 모델등 비즈니스의 모든 부분을 변화시키는 것을 의미합니다. 최근 코로나로 인하여 의도하지 않게 빠르게 디지털화되어 가고 있습니다. 이젠 비즈니스에 '선택'이 아니라 '필수'가 되었습니다. 같이 DX 디지털 트랜스포메이션에 대해서 알아 보시죠.",DX 디지털 트랜스포메이션 이젠 선택이 아니라 필수 DX 디지털 트랜스포메이션은 단순히 IT시스템을 적용시키는 것이 아니라 공급망 직원관리 고객관리 비즈니스 모델등 비즈니스의 모든 부분을 변화시키는 것을 의미합니다 최근 코로나로 인하여 의도하지 않게 빠르게 디지털화되어 가고 있습니다 이젠 비즈니스에 선택이 아니라 필수가 되었습니다 같이 DX 디지털 트랜스포메이션에 대해서 알아 보시죠,"DX, 디지털 트랜스포메이션, IT 시스템, 공급망, 직원관리, 고객관리, 비즈니스 모델, 코로나, 빠른 디지털화, 비즈니스 필수."
154,배터리 회사에 DX(Digital Transformation)가 필요한 이유!,https://www.youtube.com/watch?v=v9G7XkijRd0&pp=ygULRFjtlYTsmpTshLE%3D,2022.6.24,#DX,LG에너지솔루션 [LG Energy Solution],5080,136,DX태도,DX 필요성,한국어,"배터리 산업에서도 DX는 꼭 필요합니다. 

배터리의 성능, 수명을 예측하고 물류나 원가 분석도 가능한데요. 
LG에너지솔루션에서는 지금 이 순간에도 빅데이터를 바탕으로
효율적인 배터리 제조와 공급을 하고 있습니다.

LG에너지솔루션 DX 전문가들이 전하는 이야기를
영상에서 확인해 보세요~

CDO, DX부분 채용소식 보러가기☞
https://bit.ly/3Npwa3N
#LG에너지솔루션 #DX #DigitalTransformation","배터리 회사에 DXDigital Transformation가 필요한 이유 배터리 산업에서도 DX는 꼭 필요합니다 

배터리의 성능 수명을 예측하고 물류나 원가 분석도 가능한데요 
LG에너지솔루션에서는 지금 이 순간에도 빅데이터를 바탕으로
효율적인 배터리 제조와 공급을 하고 있습니다

LG에너지솔루션 DX 전문가들이 전하는 이야기를
영상에서 확인해 보세요

CDO DX부분 채용소식 보러가기

LG에너지솔루션 DX DigitalTransformation","배터리, 성능 예측, 빅데이터, 효율적인 제조, 디지털 혁신, DX, LG에너지솔루션."
155,국내 기업의 디지털 전환 현황과 로드맵: DX 적용 성공 사례를 중심으로,https://www.youtube.com/watch?v=MJ8CJTLxVTo,2021.7.8,,한국무역협회 KITA TV,5113,52,DX태도,DX 필요성,한국어,"[디지털 전환 시대, 수출기업의 혁신현황과 대응전략 포럼]

국내 기업의 디지털 전환 현황과 로드맵: DX 적용 성공 사례를 중심으로_윤정원 이노핏파트너스 대표","국내 기업의 디지털 전환 현황과 로드맵 DX 적용 성공 사례를 중심으로 디지털 전환 시대 수출기업의 혁신현황과 대응전략 포럼

국내 기업의 디지털 전환 현황과 로드맵 DX 적용 성공 사례를 중심으로_윤정원 이노핏파트너스 대표","디지털 전환, 로드맵 DX, 디지털 혁신, 성공 사례, 수출기업, 대응 전략, 혁신 현황."
156,[패널 토의] 한국 기업들의 Digital Transformation 여정,https://www.youtube.com/watch?v=UAL2ESUMBI8,2020.9.13,,Microsoft Korea,2396,26,DX태도,DX 필요성,한국어,"AI 기술의 도입이 확산됨으로써 만들어지는 기회와 도전을 짚어봅니다. 아울러 실제 연구사례를 통한 경험과 정부 정책 수립과 관련한 이슈, 그리고 Microsoft의 사례를 공유하고, AI 원칙과 역할을 명확히 하며, 기술이 나아가야 할 방향에 대해 함께 논의하고자 합니다.",패널 토의 한국 기업들의 Digital Transformation 여정 AI 기술의 도입이 확산됨으로써 만들어지는 기회와 도전을 짚어봅니다 아울러 실제 연구사례를 통한 경험과 정부 정책 수립과 관련한 이슈 그리고 Microsoft의 사례를 공유하고 AI 원칙과 역할을 명확히 하며 기술이 나아가야 할 방향에 대해 함께 논의하고자 합니다,"디지털 트랜스포메이션, AI 기술, 연구사례, 정부 정책, Microsoft, AI 원칙, 방향성, 기술."
157,국내 디지털 전환(DX) 성공사례 -큐브엔시스-,https://www.youtube.com/watch?v=8X7YGg0LjSs&pp=ygULRFjtlYTsmpTshLE%3D,2022.11.27,#DX,한국무역협회 KITA TV,306,2,DX태도,DX사례,한국어,"- 본 영상은 웨인힐스브라이언트 AI 인공지능 기반 콘텐츠로 제작되었습니다-

우리 기업의 디지털 전환(DX) 성공 사례를 소개합니다.

우리 기업은 어떻게 DX에 성공했을까요?

이번 편에 소개된 큐브엔시스는 2007년에 설립된 빅데이터 기반 플랫폼 구축 전문 기업으로 상권분석, 스마트팜, 인공지능 서비스 개발 등 다양한 분야를 주요 사업 영역으로 하고 있습니다.

특히 큐브엔시스는 정량 및 정성 데이터 융합을 통해 데이터 분석에 대한 새로운 가치 창출을 시도하고 있는데요.

더 자세한 내용은 영상을 통해 확인하시길 바랍니다.

감사합니다.

#KITA #한국무역협회 #DX #디지털전환 #KOIIA #한국산업지능화협회 #큐브엔시스","국내 디지털 전환DX 성공사례 큐브엔시스  본 영상은 웨인힐스브라이언트 AI 인공지능 기반 콘텐츠로 제작되었습니다

우리 기업의 디지털 전환DX 성공 사례를 소개합니다

우리 기업은 어떻게 DX에 성공했을까요

이번 편에 소개된 큐브엔시스는 2007년에 설립된 빅데이터 기반 플랫폼 구축 전문 기업으로 상권분석 스마트팜 인공지능 서비스 개발 등 다양한 분야를 주요 사업 영역으로 하고 있습니다

특히 큐브엔시스는 정량 및 정성 데이터 융합을 통해 데이터 분석에 대한 새로운 가치 창출을 시도하고 있는데요

더 자세한 내용은 영상을 통해 확인하시길 바랍니다

감사합니다

KITA 한국무역협회 DX 디지털전환 KOIIA 한국산업지능화협회 큐브엔시스","디지털 전환, AI, 인공지능, 빅데이터, 상권분석, 스마트팜, 데이터 분석, 가치 창출"
158,국내 디지털 전환(DX) 성공사례 -한국클래드텍-,https://www.youtube.com/watch?v=ft8jH-D3AMc&pp=ygUPRFgg7ISx6rO17IKs66GA,2022.10.30,#DX,한국무역협회 KITA TV,556,7,DX태도,DX사례,한국어,"- 본 영상은 웨인힐스브라이언트 AI 인공지능 기반 콘텐츠로 제작되었습니다-
안녕하세요, 한국무역협회입니다.

오늘은 우리 기업의 디지털 전환(DX) 성공 사례를 소개해드릴까 합니다.

우리 기업은 어떻게 DX를 추진하고 있을까요?

이번 편에 소개된 한국클래드텍은 1997년 창업하여 주방재를 시작으로 약 25년 동안 클래드 메탈 소재 생산에 집중해온 국내 최대 규모의 클래드 압연 기술 전문기업인데요, 
클래드 메탈을 활용한 주방재, 산업재, 건축재 생산을 통해 2021년 기준 연매출 800억을 달성하고, 수출이 매출의 40%를 차지하고 있는 글로벌 강소기업입니다.

한국클래드텍은 2021년 정부 지원을 통하여 산업 디지털 전환을 제조 공정 내 도입할 수 있는 계기를 마련했습니다. 공정 과정에서 수집되는 생산과 품질 정보의 실시간 데이터를 수집, 관리함으로써 품질 정확도를 높이는 것은 물론 데이터 기반의 의사결정으로 경영 패러다임을 바꾸는 데 성공했는데요, 현재 실시간으로 수집된 데이터를 인공지능으로 분석하고 자동으로 제어할 수 있는 스마트 팩토리를 구현하기 위한 초기 단계에 진입했습니다. 

추후에 또 다른 국내 기업 DX 성공사례로 찾아뵐테니, 많은 관심 부탁드립니다.

감사합니다.

#KITA #한국무역협회 #DX #디지털전환 #KOIIA #한국산업지능화협회 #한국클래드텍","국내 디지털 전환DX 성공사례 한국클래드텍  본 영상은 웨인힐스브라이언트 AI 인공지능 기반 콘텐츠로 제작되었습니다
안녕하세요 한국무역협회입니다

오늘은 우리 기업의 디지털 전환DX 성공 사례를 소개해드릴까 합니다

우리 기업은 어떻게 DX를 추진하고 있을까요

이번 편에 소개된 한국클래드텍은 1997년 창업하여 주방재를 시작으로 약 25년 동안 클래드 메탈 소재 생산에 집중해온 국내 최대 규모의 클래드 압연 기술 전문기업인데요 
클래드 메탈을 활용한 주방재 산업재 건축재 생산을 통해 2021년 기준 연매출 800억을 달성하고 수출이 매출의 40를 차지하고 있는 글로벌 강소기업입니다

한국클래드텍은 2021년 정부 지원을 통하여 산업 디지털 전환을 제조 공정 내 도입할 수 있는 계기를 마련했습니다 공정 과정에서 수집되는 생산과 품질 정보의 실시간 데이터를 수집 관리함으로써 품질 정확도를 높이는 것은 물론 데이터 기반의 의사결정으로 경영 패러다임을 바꾸는 데 성공했는데요 현재 실시간으로 수집된 데이터를 인공지능으로 분석하고 자동으로 제어할 수 있는 스마트 팩토리를 구현하기 위한 초기 단계에 진입했습니다 

추후에 또 다른 국내 기업 DX 성공사례로 찾아뵐테니 많은 관심 부탁드립니다

감사합니다

KITA 한국무역협회 DX 디지털전환 KOIIA 한국산업지능화협회 한국클래드텍","한국클래드텍, 디지털 전환, DX, 산업 디지털 전환, 스마트 팩토리, 데이터 기반 의사결정, 인공지능, 클래드 메탈, 생산과 품질 정보, 데이터 분석, 관리, 경영 패러다임, 수출, 강소기업, 기업 DX 성공 사례."
159,국내 디지털 전환(DX) 성공사례 ⑤ -세왕섬유-,https://www.youtube.com/watch?v=jp3QSKYqMDQ&pp=ygUPRFgg7ISx6rO17IKs66GA,2022.12.11,#DX,한국무역협회 KITA TV,441,9,DX태도,DX사례,한국어,"- 본 영상은 웨인힐스브라이언트 AI 인공지능 기반 콘텐츠로 제작되었습니다-

우리 기업의 디지털 전환(DX) 성공 사례를 소개합니다.

우리 기업은 어떻게 DX에 성공했을까요?

이번 편에 소개된 세왕섬유는 1994년 설립된 원단 수출 전문기업으로, 2007년 5,000만 불 수출의 탑, 2013년 1억 불 수출의 탑, 2016년 2억 불 수출의 탑을 수상한 바 있습니다.

1970년대 후반 선진국의 자국 섬유산업 보호정책, 석유파동 등으로 섬유산업이 위기를 맞았을 때, 세왕섬유는 이를 극복하기 위해 값싼 노동력에 의존하던 산업 체질을 변화시켜야 한다고 생각했습니다.

그 일환으로 세왕섬유는 맞춤형 원스톱 통합전산관리시스템 구축, 섬유 인더스트리 4.0 실현 등 디지털 공정 혁신을 모색했는데요.

더 자세한 내용은 영상을 통해 확인하시길 바랍니다.

감사합니다.

#KITA #한국무역협회 #DX #디지털전환 #KOIIA #한국산업지능화협회 #세왕섬유","국내 디지털 전환DX 성공사례 ⑤ 세왕섬유  본 영상은 웨인힐스브라이언트 AI 인공지능 기반 콘텐츠로 제작되었습니다

우리 기업의 디지털 전환DX 성공 사례를 소개합니다

우리 기업은 어떻게 DX에 성공했을까요

이번 편에 소개된 세왕섬유는 1994년 설립된 원단 수출 전문기업으로 2007년 5000만 불 수출의 탑 2013년 1억 불 수출의 탑 2016년 2억 불 수출의 탑을 수상한 바 있습니다

1970년대 후반 선진국의 자국 섬유산업 보호정책 석유파동 등으로 섬유산업이 위기를 맞았을 때 세왕섬유는 이를 극복하기 위해 값싼 노동력에 의존하던 산업 체질을 변화시켜야 한다고 생각했습니다

그 일환으로 세왕섬유는 맞춤형 원스톱 통합전산관리시스템 구축 섬유 인더스트리 40 실현 등 디지털 공정 혁신을 모색했는데요

더 자세한 내용은 영상을 통해 확인하시길 바랍니다

감사합니다

KITA 한국무역협회 DX 디지털전환 KOIIA 한국산업지능화협회 세왕섬유","세왕섬유, 디지털 전환, AI, 인공지능, 전산관리시스템, 섬유산업, 공정 혁신, 원스톱, 모색, 값싼 노동력, 산업 체질, 원단 수출, 수출의 탑, 섬유 인더스트리 4.0"
